year	title	authors	venue	link
				
2024	Novel community data in ecology-properties and prospects	"Hartig, Florian and Abrego, Nerea and Bush, Alex and Chase, Jonathan M and Guillera-Arroita, Gurutzeta and Leibold, Mathew A and Ovaskainen, Otso and Pellissier, Lo{\""\i}c and Pichler, Maximilian and Poggiato, Giovanni and others"	Trends in Ecology \& Evolution	https://doi.org/10.1016/j.tree.2023.09.017
2021	Analysis of complex trophic networks reveals the signature of land-use intensification on soil communities in agroecosystems	Bloor, Juliette MG and Si-Moussi$^{\dagger}$, Sara and Taberlet, Pierre and Carr{\`e}re, Pascal and Hedde, Mickael	Scientific Reports	https://doi.org/10.1038/s41598-021-97300-9
2022	A common framework for developing robust soil fauna classifications	Hedde, Mickael and Blight, Olivier and Briones, Maria JI and Bonfanti, Jonathan and Brauman, Alain and Brondani, Margot and Sanou, Irene Calder{\'o}n and Clause, Julia and Conti, Erminia and Cortet, J{\'e}r{\^o}me and others	Geoderma	https://doi.org/10.1016/j.geoderma.2022.116073
2021	Cascading effects of moth outbreaks on subarctic soil food webs	"Calder{\'o}n-Sanou, Irene and M{\""u}nkem{\""u}ller, Tamara and Zinger, Lucie and Schimann, Heidy and Yoccoz, Nigel Gilles and Gielly, Ludovic and Foulquier, Arnaud and Hedde, Mickael and Ohlmann, Marc and Roy, M{\'e}lanie and others"	Scientific Reports	https://doi.org/10.1038/s41598-021-94227-z
2023	New deep learning-based methods for visualizing ecosystem properties using environmental DNA metabarcoding data	"Lamperti, Letizia and Sanchez, Th{\'e}ophile and Si Moussi, Sara and Mouillot, David and Albouy, Camille and Fl{\""u}ck, Benjamin and Bruno, Morgane and Valentini, Alice and Pellissier, Lo{\""\i}c and Manel, St{\'e}phanie"	Molecular Ecology Resources	https://doi.org/10.1111/1755-0998.13861
2024	Vegetation structure and climate shape mountain arthropod distributions across trophic levels	Martinez-Almoyna, Camille and Calder{\`o}n-Sanou, Irene and Lionnet, Cl{\'e}ment and Gielly, Ludovic and Boyer, Fr{\'e}d{\'e}ric and Dufour, Paul and Dunyach, Lily and Miquel, Christian and Ohlmann, Marc and Poulenard, J{\'e}r{\^o}me and others	Journal of Animal Ecology	https://doi.org/10.1111/1365-2656.14164
2025	Introduction to deep learning methods for multi-species predictions	Hu, Yuqing and Si-Moussi$\dagger$, Sara and Thuiller, Wilfried	Methods in Ecology and Evolution	
2024	Causal discovery from ecological time-series with one timestamp and multiple observations	Bystrova, Daria and Assaad, Charles K and Si-Moussi, Sara and Thuiller, Wilfried	bioRxiv	https://doi.org/10.1101/2024.10.10.608447
2020	Contribution of data mining to the modeling of ecological communities	Si-Moussi, Sara		
2019	Plant recommendation using the environment and biotic associations	Si-Moussi, Sara and Hedde, Mickael and Thuiller, Wilfried	Working Notes of CLEF 2019 - Conference and Labs of the Evaluation Forum	https://hal.science/hal-02970576
2022	Uncovering symmetric and asymmetric species associations from community and environmental data	Si Moussi, Sara and Galbrun, Esther and Hedde, Mickael and Poggiato, Giovanni and Rohr, Matthias and Thuiller, Wilfried		https://hal.science/hal-05161556
2025	Continental scale habitat modelling with artificial intelligence and multimodal earth observation	Sara Si-Moussi and Stephan Hennekens and Sander Mucher and Stan Los and Wilfried Thuiller		https://arxiv.org/abs/2507.09732
2025	EUNIS Habitat Maps: Enhancing Thematic and Spatial Resolution for Europe through Machine Learning	"Si-Moussi, Sara and Hennekens, Stephan and M{\""u}cher, Sander and De Keersmaecker, Wanda and Chytr{\`y}, Milan and Agrillo, Emiliano and Attorre, Fabio and Biurrun, Idoia and Bonari, Gianmaria and {\v{C}}arni, Andra{\v{z}} and others"	arXiv preprint arXiv:2506.13649	
				https://arxiv.org/abs/2506.13649
	Digging deeper: deep joint species distribution modeling reveals environmental drivers of Earthworm Communities	"Si-moussi, Sara and Thuiller, Wilfried and Galbrun, Esther and Deca{\""e}ns, Thibaud and G{\'e}rard, Sylvain and March{\'a}n, Daniel F and Marsden, Claire and Capowiez, Yvan and Hedde, Micka{\""e}l"	arXiv preprint arXiv:2506.13568	
2025				https://arxiv.org/abs/2506.13568
2025	Limits and Promises of Earth Observation Foundation Models in Predicting Multi-Trophic Soil Biodiversity	Cerna, Selene and Si-Moussi, Sara and Calderon-Sanou, Irene and Miele, Vincent and Thuiller, Wilfried	bioRxiv	https://www.biorxiv.org/content/10.1101/2025.05.16.654504v1
2025	Using synthetic controls to attribute biodiversity shifts to remotely sensed landscape modifications	Estopinan, Joaquim and Si-moussi, Sara and Giagnacovo, Lori and Miele, Vincent and Thuiller, Wilfried		
2025	How do Earth Observation Foundation Models Help to Predict Multi-Trophic Soil Biodiversity	Cerna, Selene and Si-Moussi, Sara and Miele, Vincent and  Thuiller, Wilfried		
2019	Uncovering ecological associations from community and environmental data	Si‑Moussi, Sara		
2024	Introduction to Deep Learning Methods for Multi‑Species Predictions.	Si‑Moussi, Sara		
2023	Harnessing AI and remote sensing for high resolution habitat mapping	Si‑Moussi, Sara		
2019	Uncovering ecological associations between species from their co‑distribution	Si‑Moussi, Sara		
2018	Using trait‑based joint species distribution models to understand the distribution of earthworms in France	Si‑Moussi, Sara		
2018	A data‑driven ecological interaction patterns discovery: case study of the soil fauna	Si‑Moussi, Sara		
2022	A Machine‑Learning Framework to Understand and Predict Soil Biodiversity	Thuiller, Wilfried and Si‑Moussi, Sara and Calderon‑Sanou, Irene and Le Guillarme, Nicolas and Ohlmann, Marc		
2025	Deep modelling of ecological communities	Si‑Moussi, Sara and Cerna, Selene		
2020	Building ecological networks: challenges and opportunities for Artificial Intelligence	Si‑Moussi, Sara		
2019	Machine Learning Ecological Interaction Networks	Si‑Moussi, Sara and Galbrun, Esther and Hedde, Mickael and Thuiller, Wilfried		
2024	Current and Future EUNIS Habitat Modeling and Mapping	Si‑Moussi, Sara and Thuiller, Wilfried		
2023	AI and Remote Sensing for Predictive Biodiversity Modelling	Si‑Moussi, Sara and Hu, Yuqing		
2023	L'écologie prédictive à l'heure des données massives	Thuiller, Wilfried and Si‑Moussi, Sara		
2022	Uncovering the Drivers of Soil Ecological Communities Turnover	Si‑Moussi, Sara and François, Olivier and Thuiller, Wilfried		
2022	Applying Deep Learning Models to Ecological Data	Si‑Moussi, Sara and Le Guillarme, Nicolas		
2023	Autour des modèles de distribution jointe d'espèces : les approches SCGLR, TRP et webSDM	Si‑Moussi, Sara and Gibaud, Jérémy and Mortier, Frédéric and Peyhardi, Jérôme		
2024	Harnessing AI and Remote Sensing to Foster High Resolution Habitat Mapping	Si‑Moussi, Sara and Hennekens, Sybren and Mücher, Floris and Thuiller, Wilfried	Book of Abstracts, World Biodiversity Forum 2024	
2025	Earth Observation foundation models for large-scale biodiversity modelling	Si-moussi, Sara and Estopinan, Joaquim and Thuiller, Wilfried		
2024	EUNIS Habitat Maps: Enhancing Thematic and Spatial Resolution for Europe through Machine Learning.	Si-Moussi, Sara and Hennekens, Stephan and Mucher, Sander and Thuiller, Wilfried		
2025	Current and future scenarios of EUNIS habitats distribution in Europe.	Si-Moussi, Sara and Hennekens, Stephan and Mucher, Sander and Thuiller, Wilfried		
2024	Species habitat suitability of European terrestrial vertebrates for contemporary climate and land use.	Si-Moussi, Sara and Thuiller, Wilfried		
